,open_time,open,high,low,close,volume,close_time
281,1633737600000,53974.99,55589.00,53656.66,54960.77,167495.393,1633823999999
282,1633824000000,54960.79,56789.00,54101.00,54700.00,289072.818,1633910399999
283,1633910400000,54700.00,57880.00,54458.00,57500.01,314868.050,1633996799999
284,1633996800000,57500.01,57756.52,53750.00,56011.84,349147.775,1634083199999
285,1634083200000,56011.83,57822.38,54271.24,57393.65,327714.318,1634169599999
286,1634169600000,57393.65,58586.67,56800.00,57378.19,254719.751,1634255999999
287,1634256000000,57377.12,63997.61,56900.00,61702.33,493366.513,1634342399999
288,1634342400000,61702.33,62444.23,60220.00,60925.56,213251.899,1634428799999
289,1634428800000,60925.56,61796.47,58850.00,61571.45,240132.514,1634515199999
290,1634515200000,61571.45,62800.00,59897.61,62037.92,333278.481,1634601599999
291,1634601600000,62037.92,64500.00,61300.00,64316.70,379243.718,1634687999999
292,1634688000000,64314.75,67150.00,63518.81,66064.24,324737.868,1634774399999
293,1634774400000,66064.25,66750.00,62000.00,62260.33,478610.458,1634860799999
294,1634860800000,62260.33,63796.20,60011.90,60734.27,350359.527,1634947199999
295,1634947200000,60734.28,61780.00,59622.00,61325.11,222553.478,1635033599999
296,1635033600000,61325.09,61550.00,59504.46,60902.82,245816.821,1635119999999
297,1635120000000,60902.82,63795.98,60701.00,63127.04,234201.100,1635206399999
298,1635206400000,63129.25,63362.06,59838.05,60358.75,252256.924,1635292799999
299,1635292800000,60358.74,61550.00,57865.00,58449.36,329112.396,1635379199999
300,1635379200000,58449.36,62641.26,57550.00,60622.03,333323.116,1635465599999
301,1635465600000,60622.02,63069.71,60222.00,62308.22,218355.773,1635551999999
302,1635552000000,62308.21,62415.85,60631.23,61895.19,156041.523,1635638399999
303,1635638400000,61895.19,62462.99,60008.00,61348.61,183599.524,1635724799999
304,1635724800000,61347.14,62543.58,59400.00,60942.87,246158.361,1635811199999
305,1635811200000,60942.87,64349.55,60659.58,63266.69,217592.062,1635897599999
306,1635897600000,63266.69,63613.00,60300.00,62946.45,211190.183,1635983999999
307,1635984000000,62946.45,63149.00,60703.00,61431.86,184677.079,1636070399999
308,1636070400000,61433.90,62671.48,60762.00,61006.00,157569.637,1636156799999
309,1636156800000,61006.00,61645.75,60100.00,61511.30,154919.118,1636243199999
310,1636243200000,61511.30,63377.58,61368.26,63316.40,142878.208,1636329599999
311,1636329600000,63316.40,67932.89,63308.70,67606.96,274932.146,1636415999999
312,1636416000000,67606.96,68675.16,66300.00,67009.98,231843.834,1636502399999
313,1636502400000,67010.65,69198.70,62400.51,64920.13,347835.573,1636588799999
314,1636588800000,64920.13,65646.98,64147.12,64831.30,178279.275,1636675199999
315,1636675200000,64831.20,65500.00,62313.00,64156.08,264576.325,1636761599999
316,1636761600000,64156.08,65073.24,63430.01,64427.00,124466.493,1636847999999
317,1636848000000,64426.99,65569.99,63640.00,65568.39,146424.701,1636934399999
318,1636934400000,65568.38,66395.05,63351.58,63654.49,210026.602,1637020799999
319,1637020800000,63654.49,63655.77,58397.14,60106.03,475025.706,1637107199999
320,1637107200000,60106.03,60848.85,58336.68,60366.96,287388.873,1637193599999
321,1637193600000,60366.97,60999.00,56505.48,56921.05,412021.672,1637279999999
322,1637280000000,56921.04,58333.00,55604.00,58069.51,245356.121,1637366399999
323,1637366400000,58069.52,59873.84,57372.00,59716.29,173697.342,1637452799999
324,1637452800000,59716.28,60052.82,58518.88,58661.39,143887.271,1637539199999
325,1637539200000,58648.87,59624.56,55600.00,56268.31,326184.881,1637625599999
326,1637625600000,56268.31,57888.00,55250.00,57574.23,267790.325,1637711999999
327,1637712000000,57574.24,57775.27,55900.00,57165.08,194683.757,1637798399999
328,1637798400000,57165.09,59449.62,57029.00,58988.21,191912.653,1637884799999
329,1637884800000,58988.36,59186.41,53500.00,53755.65,378650.919,1637971199999
330,1637971200000,53755.66,55300.00,53640.69,54738.77,155119.117,1638057599999
331,1638057600000,54738.77,57474.76,53245.00,57315.73,213600.615,1638143999999
332,1638144000000,57315.72,58924.21,56715.00,57827.98,215111.466,1638230399999
333,1638230400000,57827.97,59224.99,55900.00,56975.00,337624.148,1638316799999
334,1638316800000,56978.06,59100.00,56500.00,57209.29,273959.104,1638403199999
335,1638403200000,57209.28,57428.49,55800.00,56513.57,249985.255,1638489599999
336,1638489600000,56513.56,57670.00,50604.00,53612.00,374132.016,1638575999999
337,1638576000000,53611.86,53889.69,40888.89,49135.66,598774.989,1638662399999
338,1638662400000,49135.66,49699.49,47755.00,49376.60,286434.382,1638748799999
339,1638748800000,49373.83,50888.00,47000.00,50424.72,357711.029,1638835199999
